Episode,stopping_distance
1,0.5999999999999996
1,0.5800000000000001
2,0.6400000000000006
3,0.6300000000000008
4,0.5999999999999996
5,0.6899999999999995
6,0.6199999999999992
7,0.6699999999999999
8,0.6199999999999992
9,0.6500000000000004
10,0.6400000000000006
11,0.6400000000000006
12,0.6799999999999997
13,0.6400000000000006
14,0.6799999999999997
15,0.6300000000000008
16,0.6899999999999995
17,0.6400000000000006
18,0.6899999999999995
19,0.6400000000000006
20,0.6699999999999999
21,0.6400000000000006
22,0.6300000000000008
23,0.6699999999999999
24,0.6199999999999992
25,0.6899999999999995
26,0.6099999999999994
27,0.6199999999999992
28,0.6099999999999994
29,0.6600000000000001
30,0.6500000000000004
31,0.6199999999999992
32,0.6300000000000008
33,0.6799999999999997
34,0.6400000000000006
35,0.6699999999999999
36,0.6300000000000008
37,0.6799999999999997
38,0.6400000000000006
39,0.6500000000000004
40,0.6600000000000001
41,0.6600000000000001
42,0.6400000000000006
43,0.6899999999999995
44,0.6099999999999994
45,0.6999999999999993
46,0.6699999999999999
47,0.6099999999999994
48,0.6600000000000001
49,0.5800000000000001
50,0.6799999999999997
51,0.6899999999999995
52,0.6300000000000008
53,0.6799999999999997
54,0.6400000000000006
55,0.6799999999999997
56,0.6899999999999995
57,0.6799999999999997
58,0.6099999999999994
59,0.6600000000000001
60,0.5999999999999996
61,0.5999999999999996
62,0.6600000000000001
63,0.6199999999999992
64,0.6099999999999994
65,0.5800000000000001
66,0.6500000000000004
67,0.5899999999999999
68,0.6600000000000001
69,0.6099999999999994
70,0.6899999999999995
71,0.6300000000000008
72,0.6500000000000004
73,0.6799999999999997
74,0.6300000000000008
75,0.6799999999999997
76,0.6099999999999994
77,0.6699999999999999
78,0.5999999999999996
79,0.6199999999999992
80,0.6300000000000008
81,0.6600000000000001
82,0.6400000000000006
83,0.6899999999999995
84,0.6699999999999999
85,0.6300000000000008
86,0.6699999999999999
87,0.6799999999999997
88,0.6500000000000004
89,0.6099999999999994
90,0.6600000000000001
91,0.6600000000000001
92,0.6500000000000004
93,0.6600000000000001
94,0.6400000000000006
95,0.6400000000000006
96,0.6600000000000001
97,0.5999999999999996
98,0.6699999999999999
99,0.6300000000000008
100,0.6799999999999997
101,0.6099999999999994
102,0.7100000000000009
103,0.6500000000000004
104,0.6699999999999999
105,0.6600000000000001
106,0.6699999999999999
107,0.6099999999999994
108,0.6999999999999993
109,0.6500000000000004
110,0.6799999999999997
111,0.6400000000000006
112,0.6699999999999999
113,0.6600000000000001
114,0.5800000000000001
115,0.6500000000000004
116,0.6400000000000006
117,0.6400000000000006
118,0.6500000000000004
119,0.6500000000000004
120,0.6400000000000006
121,0.6199999999999992
122,0.6300000000000008
123,0.6199999999999992
124,0.6799999999999997
125,0.6500000000000004
126,0.6999999999999993
127,0.5999999999999996
128,0.6799999999999997
129,0.5800000000000001
130,0.6999999999999993
131,0.6300000000000008
132,0.5700000000000003
133,0.6400000000000006
134,0.6600000000000001
135,0.6500000000000004
136,0.6699999999999999
137,0.5999999999999996
138,0.6699999999999999
139,0.5999999999999996
140,0.6999999999999993
141,0.6799999999999997
142,0.6799999999999997
143,0.6899999999999995
144,0.6899999999999995
145,0.6400000000000006
146,0.6300000000000008
147,0.6600000000000001
148,0.6500000000000004
149,0.6799999999999997
150,0.6199999999999992
151,0.6500000000000004
152,0.6199999999999992
153,0.6400000000000006
154,0.6300000000000008
155,0.6500000000000004
156,0.6099999999999994
157,0.6799999999999997
158,0.6099999999999994
159,0.6500000000000004
160,0.6400000000000006
161,0.6999999999999993
162,0.5999999999999996
163,0.6699999999999999
164,0.6300000000000008
165,0.6799999999999997
166,0.6699999999999999
167,0.6500000000000004
168,0.6400000000000006
169,0.6300000000000008
170,0.6099999999999994
171,0.6699999999999999
172,0.6500000000000004
173,0.6500000000000004
174,0.6999999999999993
175,0.6400000000000006
176,0.6400000000000006
177,0.6400000000000006
178,0.6799999999999997
179,0.6099999999999994
180,0.5800000000000001
181,0.6699999999999999
182,0.6400000000000006
183,0.6899999999999995
184,0.6199999999999992
185,0.5899999999999999
186,0.6999999999999993
187,0.6199999999999992
188,0.6899999999999995
189,0.6699999999999999
190,0.6199999999999992
191,0.6500000000000004
192,0.5899999999999999
193,0.6199999999999992
194,0.5899999999999999
195,0.6999999999999993
196,0.6099999999999994
197,0.6799999999999997
198,0.6300000000000008
199,0.6799999999999997
200,0.6600000000000001
201,0.6099999999999994
202,0.5800000000000001
203,0.6799999999999997
204,0.6199999999999992
205,0.6699999999999999
206,0.6500000000000004
207,0.6699999999999999
208,0.6500000000000004
209,0.7100000000000009
210,0.6500000000000004
211,0.6500000000000004
212,0.6600000000000001
213,0.5899999999999999
214,0.6400000000000006
215,0.6300000000000008
216,0.6400000000000006
217,0.6199999999999992
218,0.6899999999999995
219,0.6600000000000001
220,0.6300000000000008
221,0.6699999999999999
222,0.6400000000000006
223,0.5700000000000003
224,0.6500000000000004
225,0.5700000000000003
226,0.6799999999999997
227,0.6199999999999992
228,0.6400000000000006
229,0.5999999999999996
230,0.6600000000000001
231,0.6500000000000004
232,0.6799999999999997
233,0.6400000000000006
234,0.6600000000000001
235,0.6500000000000004
236,0.6300000000000008
237,0.6699999999999999
238,0.6199999999999992
239,0.6799999999999997
240,0.6300000000000008
241,0.6400000000000006
242,0.6400000000000006
243,0.6500000000000004
244,0.5999999999999996
245,0.6799999999999997
246,0.6199999999999992
247,0.6400000000000006
248,0.6500000000000004
249,0.6999999999999993
250,0.6400000000000006
251,0.6999999999999993
252,0.6300000000000008
253,0.6400000000000006
254,0.6300000000000008
255,0.6999999999999993
256,0.6899999999999995
257,0.6099999999999994
258,0.6899999999999995
259,0.6300000000000008
260,0.6400000000000006
