episode,falls,speed,average deviation
1,0,0.099531773,0.243543775
2,0,0.121906355,0.330707295
3,1,0.172158273,0.088598063
4,0,0.517892977,0.258442913
5,0,0.078762542,0.335916495
6,0,0.064849498,0.380968092
7,0,0.267491639,0.265261343
8,1,0.117490909,0.384622127
9,0,0.396187291,0.600924324
10,0,0.051772575,0.77368777
11,0,0.07006689,0.44915844
12,1,0.138479263,0.213344571
13,1,0.438417266,0.142743463
14,0,0.422541806,0.139221339
15,0,0.099966555,0.309734252
16,0,0.113210702,0.148354405
17,1,0.105887446,0.29830142
18,0,0.409799331,0.135805774
19,0,0.223979933,0.356943268
20,0,0.097023411,0.281821923
21,1,0.294605809,0.230585062
22,0,0.502675585,0.293995111
23,0,0.05722408,0.350269958
24,0,0.067123746,0.519001659
25,1,0.108012422,0.21710271
26,0,0.532575251,0.537368369
27,1,0.179043825,0.163835856
28,1,0.671926606,0.098804414
29,0,0.46180602,0.281789269
30,1,0.116714801,0.44290449
31,0,0.446187291,0.217727615
32,0,0.070802676,0.475646374
33,1,0.082206573,0.306888106
34,0,0.499397993,0.929867404
35,0,0.166153846,0.404714781
36,1,0.144394904,0.101535121
37,0,0.495351171,0.1007665
38,0,0.086421405,0.247359084
39,0,0.048963211,0.257294135
40,0,0.055016722,0.757551997
41,0,0.09180602,0.205693124
42,0,0.061270903,0.640020404
43,0,0.098227425,0.819643615
44,0,0.069765886,0.25970005
45,0,0.305585284,0.359255852
46,0,0.03367893,0.134873614
47,0,0.052240803,0.602083535
48,0,0.154280936,0.110978786
49,0,0.196856187,0.198627343
50,0,0.054247492,0.488489946
51,0,0.092909699,0.478294393
52,0,0.276020067,0.133156296
53,0,0.134448161,0.225258551
54,0,0.043344482,0.404577528
55,0,0.09083612,0.265711882
56,0,0.065250836,0.278658711
57,0,0.092006689,0.267418893
58,1,0.086284585,0.243103468
59,0,0.575518395,0.34603659
60,0,0.072374582,0.222823766
61,0,0.144347826,0.387079574
62,0,0.186254181,0.491883935
63,0,0.164548495,0.687774031
64,0,0.044916388,0.123907364
65,0,0.046789298,0.335442534
66,0,0.067591973,0.129315111
67,0,0.062842809,0.098327786
68,0,0.155050167,0.50908684
69,0,0.044849498,0.143477018
70,0,0.066956522,0.10463569
71,0,0.106153846,0.228230926
72,1,0.333448276,0.189990745
73,0,0.55909699,0.50973715
74,1,0.228607595,0.170360147
75,0,0.23722408,0.23975324
76,1,0.159487179,0.070589719
77,0,0.11632107,0.223665807
78,0,0.04277592,0.387737932
79,0,0.082474916,0.114107242
80,0,0.124749164,0.344311723
81,0,0.12993311,0.410629169
82,0,0.059063545,0.325146889
83,0,0.091204013,0.255006367
84,1,0.181677019,0.415404723
85,1,0.27726257,0.555256404
86,0,0.501170569,0.116172825
87,0,0.156187291,0.285450762
88,0,0.116287625,0.325645718
89,1,0.090784983,0.188302686
90,0,0.200468227,0.777864155
91,0,0.095317726,0.266187296
92,0,0.088060201,0.252058977
93,0,0.12916388,0.16123079
94,0,0.090133779,0.447986929
95,1,0.32245283,0.167659279
96,0,0.391772575,0.286315607
97,0,0.089297659,0.148063724
98,1,0.151118644,0.72384598
99,1,0.112086957,0.167230269
100,1,0.209439252,0.33486949
101,0,0.514481605,0.690166799
102,0,0.126220736,0.163713129
103,1,0.34761194,0.217851924
104,0,0.53541806,0.40970318
105,0,0.316889632,0.409757234
106,0,0.133110368,0.437920752
107,0,0.09541806,0.632710014
108,0,0.137157191,0.159162548
109,0,0.299331104,0.134785106
110,0,0.112006689,0.167745674
111,1,0.4336,0.157401448
112,0,0.623946488,0.153204649
113,0,0.25722408,0.211151801
114,0,0.186789298,0.348837508
115,1,0.405061728,0.248946454
116,1,0.421678322,0.181518235
117,0,0.495250836,0.387202431
118,1,0.294774775,0.268424653
119,0,0.162341137,0.673752487
120,0,0.287391304,0.289276088
121,0,0.409565217,0.264196309
122,0,0.120936455,0.154922614
123,0,0.277023411,0.334713675
124,0,0.215852843,0.177188376
125,0,0.145986622,0.27418768
126,0,0.19006689,0.106382385
127,0,0.280301003,0.510329602
128,1,0.436793893,0.236690786
129,0,0.421070234,0.27734924
130,0,0.127959866,0.211998175
131,0,0.165752508,0.464669481
132,0,0.242040134,0.251205814
133,0,0.424983278,0.203209934
134,0,0.304615385,0.321417333
135,0,0.213545151,0.457087773
136,1,0.621016949,0.277804331
137,0,0.77638796,0.423507857
138,0,0.393411371,0.255257944
139,1,0.452408377,0.217968055
140,0,0.206354515,0.38383747
141,0,0.197892977,0.228349615
142,1,0.764395604,0.214484213
143,0,0.709531773,0.403042861
144,1,0.622397661,0.185724595
145,1,0.162473118,0.208215558
146,0,0.546789298,0.124767928
147,1,0.473615819,0.482838865
148,0,0.484080268,0.149257412
149,0,0.280033445,0.51749176
150,0,0.246153846,0.552103513
151,0,0.335150502,0.328248564
152,0,0.241237458,0.317193045
153,0,0.249130435,0.204725914
154,0,0.421036789,0.25558012
155,0,0.489397993,0.225212579
156,0,0.151270903,0.200643383
157,0,0.311471572,0.476186879
158,0,0.244013378,0.48504594
159,0,0.20735786,0.445286147
160,0,0.272976589,0.259485755
161,1,0.711311475,0.22246631
162,0,0.698729097,0.739958161
163,1,0.410569106,0.231823363
164,1,0.199826087,0.439921551
165,0,0.397391304,0.230831745
166,0,0.270100334,0.144486012
167,0,0.556688963,0.162888863
168,1,0.518361582,0.176145236
169,0,0.459264214,0.346016696
170,0,0.28632107,0.239034007
171,0,0.234381271,0.284197304
172,0,0.288963211,0.130717222
173,0,0.437257525,0.255749406
174,1,0.51896679,0.237677622
175,0,0.132809365,0.29281327
176,1,0.513664122,0.0918659
177,0,0.474381271,0.170381351
178,0,0.409464883,1.043935434
179,0,0.219899666,0.230836754
180,0,0.470234114,0.233918074
181,1,0.683697479,0.387164473
182,1,0.389589041,0.829970889
183,0,0.364849498,0.407039604
184,1,0.777759563,0.518301231
185,0,0.425953177,0.38894297
186,0,0.48541806,0.31782024
187,0,0.482842809,0.211753234
188,1,0.815957447,0.312019177
189,1,0.155168539,0.093551104
190,0,0.707491639,0.221870845
191,0,0.411973244,0.174857499
192,0,0.493946488,0.320223231
193,0,0.536755853,0.30954071
194,0,0.412107023,0.100092759
195,0,0.611605351,0.300759855
196,0,0.292073579,0.176171511
197,0,0.374381271,0.136911198
198,0,0.603979933,0.238450345
199,0,0.453377926,0.126854933
200,0,0.485752508,0.575792182
201,1,1.097959184,0.100660675
202,0,0.775016722,0.363722882
203,0,0.614414716,0.621053284
204,1,0.243284133,0.128098993
205,0,0.298528428,0.163015191
206,0,0.730535117,0.119268905
207,0,0.398361204,0.126082965
208,0,0.70090301,0.605741561
209,1,0.275341365,0.201674438
210,0,0.283578595,0.338954305
211,0,0.530334448,0.343682476
212,0,0.338896321,0.225567439
213,0,0.459698997,0.45531018
214,1,0.608494624,0.691489917
215,0,0.24083612,0.16095336
216,0,0.378862876,0.140170304
217,0,0.512374582,0.256421524
218,0,0.712341137,0.285502742
219,1,0.552713178,0.156945945
220,0,0.439230769,0.861755761
221,0,0.318963211,0.267487302
222,0,0.547826087,0.357950534
223,0,0.767090301,0.220983411
224,0,0.346287625,0.619946431
225,1,0.822130584,0.268312507
226,0,0.309866221,0.455432765
227,0,0.548829431,0.435894123
228,1,0.403076923,0.377015259
229,0,0.374816054,0.466151121
230,0,0.326086957,0.667424088
231,0,0.313913043,0.387489134
232,0,0.605919732,0.286711968
233,0,0.625585284,0.704809253
234,0,0.317859532,0.480215393
235,1,0.654352332,0.107440604
236,0,0.575117057,0.33505839
237,0,0.542876254,0.409445916
238,0,0.511170569,0.20807542
239,0,0.539431438,0.418654365
240,0,0.710668896,0.312550552
241,0,0.571505017,0.195437708
242,0,0.501638796,0.166874614
243,0,0.813043478,0.789212341
244,1,0.433355932,0.164177623
245,1,1.214591195,0.257069904
246,0,0.485518395,0.445006058
247,1,0.642638298,0.195385244
248,0,0.659598662,0.243886858
249,0,0.504247492,0.358573513
