episode,falls,speed,average deviation
175,0,0.004180602,0.215860663
176,0,0.003076923,0.251549227
177,0,0.004013378,0.217758711
178,0,0.004046823,0.498390335
179,0,0.003444816,0.339568147
180,0,0.002976589,0.178414108
181,1,0.004532374,0.255826209
182,1,0.007153285,0.204745718
183,0,0.004615385,0.125745465
184,0,0.003545151,0.174755226
185,0,0.00367893,0.12701637
186,0,0.003377926,0.214775314
187,0,0.003913043,0.320623779
188,1,0.004858757,0.132431346
189,0,0.00367893,0.446593137
190,0,0.003311037,0.146564552
191,0,0.003979933,0.205257052
192,0,0.003311037,0.853156825
193,0,0.004247492,0.137565568
194,1,0.004412811,0.602789971
195,0,0.004046823,0.217831291
196,0,0.004381271,0.458677164
197,0,0.003311037,0.279391114
198,0,0.004247492,0.182837082
199,0,0.003177258,0.110805345
200,0,0.003043478,0.32257472
201,0,0.003411371,0.109496915
202,0,0.003645485,0.222353605
203,0,0.003979933,0.51399869
204,0,0.003311037,0.283271376
205,0,0.00367893,0.143461573
206,0,0.003846154,0.316688927
207,0,0.004347826,0.31752876
208,0,0.003779264,0.152309135
209,0,0.003745819,0.105837958
210,0,0.003913043,0.149714153
211,0,0.003210702,0.204088784
212,0,0.003645485,0.737588432
213,0,0.003879599,0.189265964
214,0,0.00367893,0.14497005
215,0,0.004548495,0.11422671
216,0,0.004147157,0.146099088
217,0,0.003879599,0.404974945
218,0,0.003545151,0.290970186
219,0,0.003745819,0.507630855
220,1,0.005299539,0.13136737
221,1,0.005288889,0.397797535
222,0,0.003645485,0.229460705
223,1,0.005139665,0.392880945
224,0,0.003779264,0.184703427
225,0,0.002976589,0.115885971
226,0,0.004280936,0.129876451
227,0,0.003645485,0.162432387
228,0,0.003779264,0.257080557
229,0,0.004080268,0.220523679
230,0,0.003712375,0.533920154
231,0,0.003712375,0.255567277
232,0,0.004080268,0.10122778
233,0,0.003779264,0.267708164
234,1,0.004117647,0.128633338
235,1,0.006756757,0.159381444
236,0,0.003076923,0.093194487
237,0,0.003846154,0.277594162
238,0,0.003143813,0.18048939
239,0,0.003377926,0.262679349
240,1,0.004806202,0.537709619
241,0,0.004147157,0.295727968
242,0,0.003377926,0.252670992
243,0,0.002943144,0.090213706
244,0,0.003645485,0.283527327
245,0,0.003511706,0.288650435
246,0,0.003946488,0.42486263
247,0,0.003846154,0.410475484
248,1,0.006121212,0.127870385
249,0,0.003177258,0.138426079
250,1,0.003333333,0.349491396
251,0,0.004113712,0.222365165
252,0,0.004013378,0.326185538
253,0,0.002976589,0.258239314
254,0,0.003444816,0.433790931
255,0,0.004046823,0.157805037
256,0,0.003846154,0.176108846
257,0,0.003277592,0.167269104
258,0,0.003177258,0.425304002
259,1,0.004501992,0.546979614
260,0,0.004347826,0.204401847
261,0,0.003879599,0.273290816
262,0,0.003411371,0.111595143
263,0,0.003076923,0.20257312
