Episode,Average Speed
1,0.6492307692307681
1,0.14401337792642152
2,0.13177257525083652
3,0.12953177257525056
4,0.19147157190635447
5,0.16706521739130456
6,0.4030100334448167
7,0.1287959866220737
8,0.16672240802675625
9,0.19655172413793118
10,0.5063545150501676
11,0.12682274247491648
12,0.14966555183946473
13,0.378628762541807
14,0.19073578595317686
15,0.17070234113712338
16,0.12896321070234068
17,0.15408026755852897
18,0.1573913043478265
19,0.14003344481605415
20,0.17113712374581963
21,0.21625418060200688
22,0.21481605351170652
23,0.12327759197324391
24,0.11849498327759175
25,0.18836120401337766
26,0.18668896321070175
27,0.14180602006688955
28,0.16150501672240766
29,0.1723745819397988
30,0.24391304347826126
31,0.3073563218390796
32,0.27324607329842887
33,0.3157859531772571
34,0.1166220735785948
35,0.14491638795986547
36,0.1394314381270895
37,0.11829431438127032
38,0.13505016722408
39,0.1566220735785958
40,0.15608695652173943
41,0.18308016877637134
42,0.3984615384615385
43,0.20964285714285774
44,0.20852842809364597
45,0.1252842809364545
46,0.13364548494983308
47,0.11414715719063506
48,0.19167224080267534
49,0.26347826086956616
50,0.1878260869565216
51,0.15083612040133781
52,0.1293645484949828
53,0.19257281553398087
54,0.3672240802675581
55,0.20110465116279072
56,0.38411371237458275
57,0.1717757009345794
58,0.4817391304347825
59,0.30720779220779265
60,0.5866938775510205
61,0.13926421404682265
62,0.2413445378151265
63,0.2734782608695652
64,0.12411371237458146
65,0.2159531772575247
66,0.1791638795986628
67,0.16497816593886488
68,0.3143143812709025
69,0.19501672240802687
70,0.14254180602006647
71,0.2147340425531913
72,0.365183946488295
73,0.15090301003344522
74,0.18736401673640177
75,0.5941975308641979
76,0.37903010033444956
77,0.31859531772575295
78,0.13862876254180584
79,0.11404682274247505
80,0.23254180602006708
81,0.19959866220735764
82,0.1416722408026757
83,0.2561872909698992
84,0.14675585284280954
85,0.21301003344481614
86,0.15424749163879595
87,0.22895522388059697
88,0.5126421404682264
89,0.18180602006689
90,0.25782426778242634
91,0.4253846153846157
92,0.12290969899665462
93,0.15518394648829403
94,0.13759197324414763
95,0.16776744186046488
96,0.31806020066889673
97,0.14063545150501658
98,0.1769230769230768
99,0.29016722408026807
100,0.19287625418060167
101,0.13103678929765913
102,0.1700621118012424
103,0.37552486187845335
104,0.6325418060200675
105,0.19515789473684192
106,0.34786127167630104
107,0.26762541806020035
108,0.15612040133779242
109,0.1761937716262978
110,0.4498775510204078
111,0.34162436548223307
112,0.3767539267015707
113,0.6261872909699017
114,0.16595317725752476
115,0.13180602006688946
116,0.1513377926421407
117,0.1395317725752512
118,0.12551839464882872
119,0.16963265306122444
120,0.4078929765886284
121,0.2023728813559324
122,0.48899665551839494
123,0.20270903010033373
124,0.2807975460122699
125,0.6210367892976604
126,0.1462541806020061
127,0.1833779264214047
128,0.18790476190476155
129,0.40034682080924827
130,0.49397993311036736
131,0.1434782608695652
132,0.15859531772575236
133,0.13277591973244143
134,0.1436120401337785
135,0.27452380952380917
136,0.6057485029940118
137,0.42986622073578645
138,0.1886328125000002
139,0.3289297658862877
140,0.21799331103678957
141,0.23518394648829458
142,0.19862876254180686
143,0.28691823899371083
144,0.6223745819397992
145,0.5183612040133786
146,0.26765886287625495
147,0.1858469945355191
148,0.30940425531914906
149,0.4693311036789303
150,0.19648648648648623
151,0.264228187919463
152,0.5457859531772578
153,0.16709030100334488
154,0.1409698996655524
155,0.1222073578595316
156,0.19254180602006676
157,0.1719063545150507
158,0.19066666666666707
159,0.34267558528428127
160,0.17976588628762571
161,0.14270903010033456
162,0.18605351170568565
163,0.1461204013377927
164,0.17948275862068996
165,0.26538461538461555
166,0.1909364548494984
167,0.141538461538462
168,0.13260869565217318
169,0.17782978723404258
170,0.42180602006688905
171,0.1530434782608703
172,0.12662207357859498
173,0.18762541806020064
174,0.17444816053511703
175,0.163110367892977
176,0.16476702508960603
177,0.3801003344481607
178,0.19464882943143744
179,0.1311036789297654
180,0.14033444816053442
181,0.1502006688963213
182,0.2220348837209299
183,0.37267558528428174
184,0.1252173913043472
185,0.1338795986622068
186,0.23476190476190537
187,0.5027090301003344
188,0.14946488294314367
189,0.18505016722408008
190,0.14785953177257505
191,0.13053511705685636
192,0.14377926421404733
193,0.12752508361204
194,0.1475919732441472
195,0.17035897435897418
196,0.2735451505016718
197,0.22663043478260816
198,0.39819397993310995
199,0.21686170212765962
200,0.4670568561872907
201,0.2497658862876261
202,0.1669230769230768
203,0.25334862385321083
204,0.43632107023411354
205,0.13481605351170545
206,0.1342809364548495
207,0.12187290969899627
208,0.14986622073578634
209,0.2684949832775914
210,0.13896321070234066
211,0.13113712374581915
212,0.262103321033211
213,0.48963210702341187
214,0.1536454849498327
215,0.4805685618729094
216,0.1713377926421413
217,0.16622073578595328
218,0.12364548494983287
219,0.19384615384615447
220,0.2076588628762537
221,0.1529096989966551
222,0.16006688963210725
223,0.16738007380073788
224,0.486254180602006
225,0.11759197324414676
226,0.1698662207357865
227,0.1309698996655513
228,0.14782608695652186
229,0.14230769230769244
230,0.18242236024844716
231,0.3509698996655518
232,0.15321070234113693
233,0.16842809364548456
234,0.1259531772575249
235,0.12250836120401269
236,0.109297658862876
237,0.18573584905660379
238,0.5215050167224077
239,0.13257525083612084
240,0.16491638795986624
241,0.2504682274247495
242,0.1651839464882947
243,0.2626755852842809
244,0.2607023411371239
245,0.15010033444816037
246,0.17449799196787127
247,0.4814046822742473
248,0.19472527472527504
249,0.3082943143812703
250,0.1734448160535117
251,0.11672240802675601
252,0.15538461538461518
253,0.1428093645484955
254,0.1331772575250831
255,0.14481605351170543
256,0.13668896321070217
257,0.1961538461538456
258,0.14478260869565235
259,0.16541806020066932
260,0.19939799331103747
261,0.15474916387959828
262,0.23966666666666692
263,0.31993311036789296
264,0.13933110367892937
265,0.19138728323699408
266,0.21602006688963193
267,0.19276041666666674
268,0.478595317725753
269,0.19816053511705747
270,0.1385953177257522
271,0.17257525083612058
272,0.16836120401337745
273,0.26360000000000056
274,0.4718060200668895
275,0.1487959866220732
276,0.1248494983277591
277,0.18853535353535328
278,0.5029765886287628
279,0.20622073578595312
280,0.16705685618729066
281,0.19357142857142842
282,0.37979933110367897
283,0.1448160535117061
284,0.13889632107023442
285,0.164749163879599
286,0.1510175438596491
287,0.3825083612040131
288,0.13722408026755864
289,0.17050167224080293
290,0.14384615384615348
291,0.14200668896321075
292,0.1430769230769227
293,0.12698996655518352
294,0.13461538461538458
295,0.19399999999999984
296,0.22595628415300548
297,0.453846153846154
298,0.14729096989966559
299,0.2349163879598669
300,0.13080267558528338
301,0.13675585284280942
302,0.19936454849498314
303,0.13474916387959862
304,0.1580936454849501
305,0.13906354515050115
306,0.16782608695652151
307,0.13521739130434726
308,0.14264214046822762
309,0.14414715719063534
310,0.1557190635451508
311,0.21910052910052838
312,0.39441471571906345
313,0.14143812709030093
314,0.1534448160535113
315,0.12943143812708988
316,0.11923076923076908
317,0.1416387959866223
318,0.19553488372093
319,0.2444147157190632
320,0.1296321070234111
321,0.14846153846153817
322,0.13127090301003325
323,0.11933110367892971
324,0.12886287625418066
325,0.16561872909698977
326,0.13602006688963217
327,0.14538461538461547
328,0.267160493827161
329,0.42585284280936414
330,0.21394648829431448
331,0.14521739130434763
332,0.14190635451505
333,0.1289297658862876
334,0.1793162393162391
335,0.43953177257525194
336,0.14374581939799314
